Final5k,Final10k,FinalHalf,FinalFull,MPH5K,MPH10K,MPHHalf,MPHFull
0 : 29 : 25,1 : 00 : 24,2 : 16 : 49,5 : 21 : 10,6.3229461756373935,6.158940397350994,5.744914118650262,4.894654903995848
0 : 48 : 34,1 : 32 : 51,3 : 14 : 45,6 : 43 : 14,3.829787234042553,4.006462035541196,4.03594351732991,3.898487228238406
0 : 39 : 13,1 : 13 : 02,2 : 43 : 40,5 : 53 : 24,4.742881427964301,5.093564582382474,4.802443991853361,4.448217317487266
0 : 39 : 22,1 : 17 : 05,3 : 9 : 46,6 : 6 : 38,4.72480948348857,4.825945945945946,4.1419286843492005,4.287662514774071
0 : 25 : 33,0 : 53 : 39,2 : 0 : 51,4 : 43 : 46,7.279843444227006,6.933830382106245,6.503930492345884,5.539762715846353
0 : 32 : 05,1 : 05 : 05,2 : 19 : 50,5 : 29 : 25,5.797402597402598,5.715749039692702,5.620977353992848,4.772071844168985
0 : 48 : 30,1 : 29 : 09,3 : 28 : 48,7 : 6 : 17,3.8350515463917527,4.172742568704431,3.764367816091954,3.68768815732885
0 : 32 : 05,0 : 46 : 45,2 : 10 : 4,4 : 54 : 26,5.797402597402598,7.957219251336898,6.043054843669912,5.33906939884524
0 : 23 : 24,0 : 50 : 10,1 : 49 : 23,4 : 2 : 51,7.94871794871795,7.415282392026579,7.185738229468231,6.47313156269302
0 : 27 : 41,1 : 01 : 17,2 : 26 : 47,3 : 50 : 31,6.718844069837448,6.07016589611096,5.354831384126263,6.819463523967897
0 : 41 : 06,1 : 27 : 51,3 : 19 : 22,7 : 4 : 54,4.525547445255474,4.234490608992601,3.9424845343588024,3.699694045657802
0 : 33 : 05,1 : 02 : 21,2 : 46 : 15,5 : 35 : 43,5.6221662468513856,5.966319165998396,4.72781954887218,4.682519982127786
1 : 03 : 01,1 : 32 : 07,3 : 12 : 37,7 : 6 : 3,2.951600105792118,4.038357155780713,4.080643765683136,3.6897077807769043
0 : 26 : 57,1 : 33 : 16,1 : 46 : 40,4 : 49 : 39,6.901669758812616,3.9885632594710505,7.3687499999999995,5.427239772138789
0 : 32 : 05,1 : 05 : 05,2 : 19 : 48,5 : 29 : 24,5.797402597402598,5.715749039692702,5.622317596566523,4.772313296903461
0 : 41 : 05,1 : 27 : 50,3 : 19 : 21,7 : 4 : 53,4.52738336713996,4.235294117647059,3.942814145974417,3.6998391715372847
0 : 42 : 52,1 : 21 : 21,3 : 50 : 23,7 : 4 : 31,4.339035769828927,4.572833435771359,3.411705129132605,3.7030348239173967
0 : 30 : 26,1 : 04 : 29,2 : 19 : 47,5 : 14 : 30,6.11171960569551,5.768932540708194,5.622987957553356,4.998410174880763
0 : 30 : 27,1 : 04 : 29,2 : 19 : 45,5 : 14 : 31,6.108374384236454,5.768932540708194,5.624329159212881,4.998145302315723
0 : 53 : 38,1 : 43 : 09,3 : 20 : 33,6 : 51 : 33,3.467992541951523,3.6063984488608822,3.919222139117427,3.8197059895516947
0 : 31 : 58,1 : 30 : 20,3 : 9 : 50,6 : 16 : 57,5.818561001042752,4.118081180811808,4.140474100087796,4.170314365300438
0 : 32 : 20,1 : 02 : 24,2 : 14 : 21,5 : 8 : 41,5.752577319587628,5.961538461538462,5.850390770375884,5.092597591922682
1 : 15 : 20,1 : 35 : 18,3 : 24 : 13,6 : 14 : 33,2.4690265486725664,3.9034627492130114,3.848853342038684,4.197036443732478
0 : 23 : 33,0 : 46 : 28,1 : 45 : 53,3 : 43 : 19,7.898089171974522,8.005738880918221,7.423264599401857,7.039331293380103
0 : 31 : 09,1 : 03 : 26,2 : 27 : 51,5 : 13 : 42,5.971107544141252,5.864424592748294,5.316198850186,5.0111571565189665
0 : 27 : 51,0 : 56 : 31,2 : 2 : 47,3 : 51 : 46,6.6786355475763015,6.582129165437924,6.401520293199402,6.782683733640154
0 : 36 : 56,1 : 26 : 41,2 : 47 : 39,6 : 28 : 35,5.0361010830324915,4.291482407229379,4.688338801073665,4.045464293373365
0 : 25 : 00,0 : 49 : 54,1 : 51 : 23,3 : 38 : 37,7.4399999999999995,7.454909819639279,7.0567110579081245,7.190668598002591
0 : 31 : 21,1 : 04 : 42,2 : 16 : 46,5 : 43 : 43,5.933014354066985,5.749613601236476,5.747014379722154,4.573534403336081
0 : 45 : 34,1 : 34 : 48,3 : 29 : 27,6 : 38 : 21,4.081931236283833,3.924050632911393,3.752685605156362,3.9462783983933725
0 : 30 : 20,1 : 04 : 50,2 : 23 : 30,5 : 30 : 54,6.131868131868132,5.737789203084834,5.477351916376307,4.7506799637352675
0 : 41 : 44,1 : 22 : 36,2 : 54 : 53,6 : 17 : 8,4.456869009584665,4.503631961259081,4.494424854665015,4.1682870779565135
0 : 51 : 01,1 : 12 : 45,2 : 34 : 34,5 : 12 : 47,3.6458673636066643,5.113402061855671,5.085184386456761,5.0258432354665095
0 : 46 : 17,1 : 20 : 53,3 : 2 : 15,6 : 38 : 16,4.018725243068059,4.599216979188131,4.3127572016460904,3.947104117843991
0 : 55 : 37,1 : 45 : 08,3 : 19 : 49,6 : 55 : 55,3.3443212466287084,3.5383639822447686,3.9336058053215446,3.7796032859146464
0 : 32 : 06,1 : 05 : 05,2 : 19 : 50,5 : 29 : 24,5.794392523364486,5.715749039692702,5.620977353992848,4.772313296903461
0 : 43 : 05,1 : 25 : 20,3 : 16 : 24,7 : 12 : 29,4.317214700193424,4.359375000000001,4.0020366598778,3.6348221511426257
0 : 30 : 21,0 : 58 : 08,2 : 8 : 6,5 : 3 : 11,6.128500823723229,6.39908256880734,6.135831381733022,5.184981584299928
0 : 23 : 58,0 : 51 : 14,1 : 58 : 30,4 : 0 : 21,7.760778859527122,7.260897852960312,6.632911392405063,6.540461826503016
0 : 27 : 17,0 : 54 : 18,3 : 10 : 0,3 : 53 : 55,6.817348808796579,6.850828729281769,4.136842105263158,6.720342002137514
0 : 27 : 40,0 : 49 : 14,1 : 55 : 12,4 : 26 : 58,6.72289156626506,7.5558564658090726,6.822916666666666,5.888375577475341
0 : 36 : 44,1 : 15 : 16,2 : 37 : 13,6 : 44 : 56,5.063520871143376,4.942426926483614,4.999469945934485,3.882120513664801
0 : 29 : 46,0 : 59 : 11,2 : 17 : 4,5 : 22 : 28,6.248600223964166,6.285553365249226,5.73443579766537,4.874922472606988
0 : 25 : 37,1 : 39 : 39,1 : 49 : 33,4 : 15 : 27,7.260897852960312,3.733065730055193,7.174806024646281,6.153846153846154
1 : 06 : 59,1 : 55 : 35,3 : 23 : 47,7 : 9 : 0,2.7768101517790496,3.2184571016582555,3.8570377034431997,3.664335664335664
