Final5k,Final10k,FinalHalf,FinalFull,MPH5K,MPH10K,MPHHalf,MPHFull
0 : 43 : 19,1 : 02 : 00,2 : 33 : 31,4 : 44 : 13,4.293959215082724,6,5.11996525892954,5.530991614378702
1 : 30 : 53,2 : 28 : 25,4 : 1 : 44,6 : 57 : 9,2.0465798642948836,2.5064570466030323,3.251516822945394,3.768428622797555
1 : 09 : 04,1 : 41 : 09,3 : 3 : 41,7 : 9 : 50,2.6930501930501936,3.677706376668314,4.27910352962526,3.6572314850717333
0 : 50 : 18,1 : 36 : 17,3 : 27 : 42,7 : 3 : 35,3.6978131212723664,3.86359702267613,3.7843042850264808,3.7111941766673224
0 : 28 : 18,1 : 03 : 47,2 : 21 : 39,5 : 19 : 3,6.572438162544169,5.832244577998433,5.54888810448288,4.927127409496944
0 : 45 : 00,1 : 35 : 30,3 : 0 : 32,6 : 37 : 1,4.133333333333334,3.895287958115184,4.353766617429837,3.9595315058141978
0 : 43 : 34,1 : 58 : 21,3 : 49 : 17,7 : 13 : 30,4.269319051262433,3.1432192648922688,3.42807298102784,3.6262975778546713
0 : 37 : 51,1 : 46 : 17,3 : 18 : 30,6 : 9 : 46,4.914134742404227,3.5000784067743456,3.959697732997481,4.251329667357793
0 : 42 : 16,1 : 17 : 47,3 : 12 : 8,5 : 36 : 44,4.400630914826499,4.782515534604672,4.090909090909091,4.668382498515145
1 : 14 : 54,1 : 55 : 08,3 : 44 : 6,6 : 32 : 48,2.483311081441922,3.2310364794441226,3.5073627844712183,4.0020366598778
1 : 00 : 14,1 : 31 : 46,3 : 20 : 42,6 : 58 : 13,3.087991145545103,4.05375953505267,3.9162929745889388,3.7588172000159408
0 : 32 : 22,0 : 51 : 36,2 : 12 : 24,4 : 26 : 30,5.746652935118434,7.209302325581396,5.936555891238671,5.898686679174484
0 : 45 : 13,1 : 17 : 02,2 : 47 : 12,5 : 56 : 58,4.113527460375968,4.829078321073129,4.7009569377990434,4.403772527780372
0 : 56 : 59,1 : 37 : 18,3 : 4 : 7,6 : 19 : 5,3.2641123135419714,3.823227132579651,4.269032316466008,4.146845460540778
0 : 46 : 40,1 : 30 : 19,3 : 7 : 30,7 : 5 : 19,3.9857142857142858,4.11884111459679,4.192,3.696069595203574
0 : 44 : 40,1 : 16 : 39,2 : 55 : 16,6 : 3 : 7,4.164179104477612,4.853228962818004,4.484594903004945,4.329187129939872
0 : 35 : 22,1 : 11 : 06,2 : 30 : 23,5 : 23 : 17,5.25918944392083,5.232067510548524,5.226643023384685,4.8626076197350105
0 : 42 : 39,1 : 33 : 48,3 : 38 : 51,7 : 26 : 35,4.3610785463071515,3.96588486140725,3.5915010281014395,3.520059712632954
0 : 40 : 06,1 : 18 : 27,2 : 40 : 49,6 : 20 : 43,4.638403990024938,4.741873804971319,4.8875531143123645,4.129054852690102
0 : 42 : 38,1 : 33 : 47,3 : 38 : 51,7 : 26 : 37,4.362783424550431,3.966589657010841,3.5915010281014395,3.5197969922006194
0 : 30 : 34,1 : 05 : 04,2 : 21 : 55,7 : 0 : 2,6.085059978189749,5.717213114754099,5.538461538461538,3.7425601142766447
1 : 35 : 32,1 : 49 : 30,3 : 20 : 54,6 : 4 : 11,1.9469644103279833,3.397260273972603,3.9123942259830757,4.316507253672601
0 : 21 : 04,1 : 41 : 28,1 : 40 : 19,4 : 17 : 45,8.829113924050633,3.6662286465177396,7.835188569529822,6.098933074684772
0 : 22 : 20,0 : 49 : 45,2 : 5 : 0,4 : 18 : 31,8.328358208955224,7.477386934673366,6.287999999999999,6.080845851331314
0 : 44 : 42,1 : 36 : 27,3 : 16 : 8,6 : 44 : 24,4.1610738255033555,3.8569206842923793,4.007477906186268,3.8872403560830864
0 : 31 : 06,1 : 02 : 09,2 : 13 : 50,5 : 0 : 1,5.980707395498393,5.985518905872888,5.872976338729763,5.23970890506083
0 : 25 : 49,0 : 59 : 11,2 : 21 : 12,5 : 49 : 18,7.204648160103293,6.285553365249226,5.56657223796034,4.500429430289149
0 : 25 : 03,0 : 55 : 27,2 : 9 : 9,5 : 21 : 0,7.425149700598802,6.708746618575293,6.085946573751451,4.897196261682243
0 : 48 : 20,1 : 32 : 43,3 : 5 : 56,6 : 38 : 42,3.8482758620689657,4.012223620348733,4.227321620652564,3.942814145974417
0 : 59 : 35,1 : 39 : 30,3 : 34 : 33,7 : 3 : 19,3.1216783216783215,3.738693467336683,3.663481705896061,3.7135320288200324
0 : 31 : 36,1 : 05 : 17,2 : 26 : 21,5 : 22 : 10,5.886075949367088,5.698238447791677,5.37068670994192,4.879461976202793
0 : 50 : 28,1 : 06 : 00,2 : 22 : 49,5 : 10 : 32,3.6856010568031703,5.636363636363636,5.503559341813514,5.062258480034348
0 : 35 : 25,1 : 10 : 48,2 : 35 : 46,6 : 17 : 56,5.251764705882353,5.254237288135593,5.046008987802267,4.159463750220498
0 : 30 : 34,0 : 59 : 25,2 : 12 : 54,4 : 55 : 4,6.085059978189749,6.260869565217392,5.914221218961624,5.327609579755988
0 : 51 : 48,1 : 42 : 55,3 : 29 : 24,6 : 32 : 42,3.590733590733591,3.614574898785425,3.753581661891117,4.00305576776165
1 : 09 : 20,1 : 40 : 25,3 : 41 : 38,7 : 17 : 8,2.682692307692308,3.7045643153526973,3.5463979545796365,3.5961567790147932
0 : 49 : 56,1 : 20 : 08,2 : 54 : 22,6 : 11 : 16,3.724966622162884,4.642262895174709,4.507742305486523,4.234153348895672
1 : 07 : 25,1 : 27 : 07,3 : 19 : 57,6 : 29 : 49,2.758961681087763,4.270135833173906,3.9309827456864217,4.032664927957587
1 : 04 : 23,1 : 35 : 20,3 : 19 : 6,7 : 6 : 48,2.888946414703598,3.9020979020979025,3.94776494224008,3.683223992502343
1 : 13 : 30,1 : 35 : 22,3 : 39 : 48,7 : 6 : 48,2.530612244897959,3.900734009087732,3.575978161965423,3.683223992502343
1 : 13 : 26,1 : 35 : 21,3 : 39 : 48,7 : 6 : 48,2.532909668633681,3.9014158363922395,3.575978161965423,3.683223992502343
0 : 41 : 07,1 : 04 : 10,2 : 34 : 50,5 : 22 : 13,4.523713011755168,5.797402597402598,5.076426264800861,4.878704805255263
0 : 31 : 02,1 : 01 : 09,2 : 2 : 32,3 : 58 : 25,5.9935553168635876,6.08340147179068,6.414581066376496,6.59349877665152
0 : 52 : 02,1 : 54 : 20,3 : 20 : 57,6 : 35 : 2,3.574631646380525,3.253644314868805,3.911420751430704,3.979411020167074
0 : 33 : 21,1 : 06 : 48,2 : 27 : 54,5 : 47 : 39,5.577211394302848,5.568862275449102,5.314401622718052,4.5217891557601035
0 : 36 : 07,1 : 18 : 00,2 : 44 : 9,5 : 47 : 34,5.149976926626673,4.769230769230769,4.788303381053914,4.522873309676801
1 : 03 : 09,1 : 50 : 38,3 : 48 : 25,7 : 16 : 58,2.9453681710213777,3.3624585718589937,3.441079897847501,3.597528415592341
0 : 54 : 48,1 : 39 : 50,3 : 26 : 57,7 : 8 : 41,3.394160583941606,3.7262103505843074,3.7980188451316748,3.6670424944597797
0 : 27 : 58,0 : 53 : 41,1 : 50 : 55,3 : 44 : 59,6.6507747318236,6.929524992238436,7.086401202103681,6.987184235869323
0 : 41 : 07,1 : 21 : 15,3 : 6 : 3,6 : 26 : 18,4.523713011755168,4.578461538461538,4.224670787422736,4.069376132539477
1 : 13 : 36,1 : 40 : 06,3 : 36 : 53,6 : 56 : 15,2.5271739130434785,3.7162837162837166,3.624068239452855,3.7765765765765766
0 : 45 : 06,1 : 26 : 56,3 : 2 : 8,6 : 50 : 4,4.124168514412417,4.279141104294479,4.315519765739385,3.83352300438953
0 : 32 : 56,1 : 05 : 16,2 : 26 : 57,5 : 30 : 22,5.6477732793522275,5.6996935648621045,5.348758080979926,4.758349308848754
0 : 59 : 56,1 : 05 : 06,2 : 36 : 18,6 : 14 : 36,3.1034482758620694,5.714285714285714,5.028790786948177,4.196476241324079
0 : 42 : 58,1 : 40 : 18,2 : 55 : 20,6 : 3 : 0,4.3289371605896045,3.7088733798604188,4.482889733840303,4.330578512396694
1 : 40 : 13,2 : 03 : 57,4 : 3 : 3,7 : 9 : 23,1.8559787127889573,3.0012101653892698,3.233902489199753,3.661064317043823
0 : 44 : 43,1 : 33 : 32,3 : 35 : 39,7 : 9 : 1,4.159522922102124,3.9771917320028516,3.6447948063992577,3.664193310283206
0 : 46 : 34,1 : 26 : 15,3 : 1 : 17,6 : 23 : 19,3.9942734430923403,4.3130434782608695,4.335754344028684,4.101047871646593
0 : 57 : 35,1 : 41 : 27,3 : 3 : 3,6 : 20 : 22,3.2301013024602026,3.6668309512074915,4.293908768096148,4.132854263430024
1 : 00 : 19,1 : 42 : 43,3 : 4 : 6,6 : 56 : 55,3.083724785852445,3.6216128508843095,4.269418794133623,3.770537677393564
0 : 30 : 01,1 : 04 : 21,2 : 30 : 39,5 : 33 : 44,6.196557468073293,5.780885780885781,5.217391304347826,4.7103475829005195
0 : 40 : 47,1 : 12 : 14,2 : 51 : 42,6 : 51 : 25,4.5606865549652635,5.149976926626673,4.577751892836343,3.8209438930524606
0 : 25 : 16,0 : 51 : 26,1 : 53 : 23,3 : 56 : 20,7.361477572559367,7.232663642255347,6.932235778333088,6.651622002820874
0 : 46 : 03,1 : 24 : 48,3 : 12 : 36,6 : 14 : 7,4.039087947882736,4.386792452830189,4.080996884735202,4.201897803715418
0 : 36 : 43,1 : 12 : 15,2 : 50 : 1,6 : 39 : 52,5.065819337267362,5.148788927335641,4.623076169003038,3.9313104368122707
0 : 51 : 49,1 : 42 : 27,3 : 38 : 50,7 : 7 : 8,3.5895786426503697,3.6310395314787702,3.5917745620715915,3.6803496176057435
0 : 51 : 50,1 : 42 : 26,3 : 38 : 50,7 : 8 : 20,3.5884244372990355,3.631630328669053,3.5917745620715915,3.670038910505837
0 : 51 : 50,1 : 42 : 28,3 : 38 : 50,7 : 7 : 10,3.5884244372990355,3.630448926480156,3.5917745620715915,3.6800624268435427
0 : 33 : 24,1 : 07 : 15,2 : 28 : 55,6 : 13 : 6,5.568862275449102,5.5315985130111525,5.278119753777281,4.213347627981774
0 : 30 : 42,1 : 03 : 34,2 : 25 : 51,5 : 52 : 43,6.058631921824105,5.852123754588359,5.389098388755571,4.45683504229079
0 : 52 : 03,1 : 37 : 09,3 : 35 : 19,7 : 10 : 29,3.5734870317002887,3.829130211013896,3.65043734035142,3.6517093189825385
0 : 37 : 17,1 : 24 : 33,2 : 37 : 44,5 : 33 : 3,4.988824318283416,4.399763453577765,4.983093829247676,4.720012010208677
0 : 40 : 57,1 : 29 : 22,3 : 11 : 27,6 : 24 : 46,4.542124542124542,4.162625885863484,4.105510577174197,4.085593000086632
0 : 24 : 56,0 : 56 : 31,3 : 29 : 25,5 : 7 : 59,7.459893048128342,6.582129165437924,3.753282928770394,5.104172303696087
0 : 34 : 25,1 : 13 : 38,2 : 47 : 48,5 : 47 : 31,5.404358353510896,5.052059755545495,4.68414779499404,4.52352405160424
0 : 56 : 52,1 : 37 : 30,3 : 28 : 41,7 : 15 : 25,3.270808909730363,3.8153846153846156,3.766472326491494,3.610334928229665
0 : 48 : 46,1 : 36 : 50,3 : 4 : 45,6 : 43 : 37,3.81408065618592,3.841652323580035,4.2543978349120435,3.894784655407358
0 : 49 : 49,1 : 32 : 22,3 : 33 : 22,6 : 42 : 55,3.7336901973904317,4.027426921688921,3.6837994063427586,3.901551189245088
1 : 01 : 01,1 : 57 : 05,4 : 11 : 40,7 : 23 : 54,3.048347446052991,3.1772241992882564,3.1231788079470197,3.5413381392205454
0 : 32 : 30,1 : 17 : 29,2 : 47 : 12,6 : 13 : 19,5.723076923076924,4.801032480103248,4.7009569377990434,4.210902272422876
0 : 41 : 54,1 : 24 : 42,3 : 1 : 37,6 : 48 : 42,4.4391408114558475,4.3919716646989375,4.327796641277415,3.846342060190849
0 : 34 : 43,1 : 12 : 50,2 : 35 : 5,6 : 4 : 34,5.357657225156024,5.107551487414188,5.06824288017195,4.311968547133583
1 : 38 : 37,1 : 58 : 45,3 : 33 : 34,6 : 16 : 5,1.8860909244549606,3.132631578947368,3.6803496176057435,4.179924662087304
0 : 42 : 48,1 : 20 : 59,3 : 16 : 9,5 : 48 : 22,4.345794392523365,4.593537764972217,4.007137394850879,4.512486843364272
1 : 17 : 16,1 : 33 : 37,3 : 14 : 55,6 : 15 : 6,2.407247627264884,3.9736514153462705,4.032492518170159,4.190882431351639
0 : 52 : 53,1 : 32 : 39,2 : 26 : 13,5 : 21 : 14,3.517176173967854,4.015110631408527,5.375584178730195,4.893639099304763
1 : 17 : 17,1 : 33 : 36,3 : 14 : 56,6 : 15 : 9,2.4067284882467113,3.974358974358975,4.032147742818057,4.190323870451819
1 : 17 : 17,1 : 33 : 36,3 : 14 : 55,6 : 15 : 9,2.4067284882467113,3.974358974358975,4.032492518170159,4.190323870451819
0 : 38 : 33,1 : 01 : 06,2 : 4 : 5,4 : 23 : 7,4.824902723735409,6.088379705400983,6.334452652787105,5.974536010641668
0 : 47 : 43,1 : 34 : 32,3 : 18 : 0,6 : 39 : 25,3.8980090813831643,3.9351198871650213,3.9696969696969697,3.935739620279574
0 : 47 : 45,1 : 34 : 32,3 : 18 : 0,6 : 32 : 6,3.895287958115184,3.9351198871650213,3.9696969696969697,4.009181331293037
0 : 49 : 28,1 : 40 : 39,3 : 30 : 12,7 : 33 : 3,3.7601078167115904,3.6959761549925485,3.7392959086584208,3.4698156936320492
0 : 43 : 14,1 : 26 : 40,2 : 58 : 33,6 : 17 : 59,4.302235929067078,4.292307692307692,4.402128255390647,4.158913532342695
0 : 35 : 00,1 : 52 : 58,3 : 30 : 23,6 : 45 : 44,5.314285714285714,3.2930067866627324,3.736037392062109,3.8744659875123233
0 : 29 : 27,1 : 25 : 12,2 : 15 : 49,4 : 35 : 8,6.315789473684211,4.366197183098591,5.7872131549883425,5.713593409256118
0 : 36 : 50,1 : 16 : 36,2 : 28 : 50,4 : 25 : 32,5.049773755656108,4.856396866840732,5.28107502799552,5.920160682902334
0 : 54 : 31,1 : 50 : 01,2 : 48 : 57,5 : 36 : 43,3.4118006725771934,3.3813058627480688,4.65226398342705,4.668613572241746
0 : 35 : 48,1 : 12 : 25,2 : 43 : 14,6 : 8 : 37,5.195530726256984,5.136939010356731,4.815192975290994,4.264592847131166
1 : 43 : 28,2 : 17 : 33,4 : 13 : 0,7 : 2 : 18,1.797680412371134,2.7044711014176666,3.1067193675889326,3.7224721761780724
0 : 40 : 33,1 : 44 : 27,2 : 40 : 32,5 : 44 : 11,4.586929716399507,3.5615126854954524,4.896179401993355,4.567333301050796
0 : 38 : 28,1 : 16 : 49,2 : 42 : 41,5 : 38 : 35,4.835355285961871,4.8426990670427434,4.831472185226923,4.642874723111002
1 : 05 : 41,1 : 39 : 43,3 : 36 : 28,7 : 6 : 27,2.8317685866531335,3.7305699481865284,3.63104404065291,3.6862469222652128
0 : 24 : 04,0 : 50 : 09,1 : 51 : 8,4 : 7 : 4,7.728531855955679,7.4177467597208375,7.072585482903419,6.362655153804641
0 : 58 : 57,1 : 02 : 23,2 : 54 : 30,6 : 40 : 50,3.155216284987277,5.963131178199306,4.504297994269341,3.921829521829522
0 : 27 : 25,0 : 56 : 37,2 : 5 : 38,4 : 28 : 52,6.784194528875379,6.5705033853400066,6.256301406208543,5.846764195388049
1 : 20 : 52,1 : 39 : 36,3 : 48 : 55,7 : 12 : 0,2.300082440230833,3.734939759036145,3.4335638878776846,3.638888888888889
0 : 39 : 00,1 : 16 : 26,2 : 25 : 23,4 : 45 : 1,4.769230769230769,4.86698648059311,5.406396881806717,5.515466931758376
0 : 52 : 54,1 : 51 : 28,3 : 12 : 15,7 : 12 : 30,3.516068052930057,3.3373205741626797,4.088426527958387,3.6346820809248555
0 : 35 : 00,1 : 09 : 51,2 : 40 : 6,6 : 10 : 11,5.314285714285714,5.325697924123122,4.909431605246721,4.246544504975012
0 : 41 : 49,1 : 27 : 30,3 : 24 : 21,6 : 47 : 4,4.447987245914707,4.251428571428572,3.846342060190849,3.8617753029806745
1 : 12 : 45,1 : 42 : 00,3 : 51 : 51,7 : 14 : 42,2.5567010309278353,3.647058823529412,3.390122924304507,3.616287094547964
0 : 39 : 44,1 : 17 : 53,2 : 46 : 36,5 : 50 : 30,4.681208053691275,4.776374919751765,4.717887154861945,4.485021398002853
0 : 42 : 01,1 : 28 : 03,3 : 28 : 5,7 : 14 : 5,4.426814756049187,4.2248722316865415,3.7773327993592307,3.6214244576694186
0 : 24 : 58,0 : 54 : 59,1 : 45 : 39,3 : 44 : 52,7.449933244325768,6.7656865716883905,7.439659252247988,6.990809368514675
0 : 51 : 34,1 : 49 : 21,3 : 47 : 46,7 : 14 : 53,3.6069812540400776,3.401920438957476,3.4509000439045807,3.6147625800022993
0 : 30 : 42,1 : 06 : 39,2 : 33 : 51,5 : 38 : 52,6.058631921824105,5.5813953488372094,5.108872278193045,4.638992720834153
1 : 01 : 46,1 : 47 : 42,3 : 33 : 0,7 : 3 : 45,3.0113329735563954,3.4540389972144845,3.6901408450704225,3.709734513274336
0 : 26 : 03,0 : 52 : 39,1 : 51 : 9,4 : 18 : 8,7.140115163147792,7.065527065527066,7.071524966261808,6.089876033057851
0 : 30 : 42,1 : 01 : 19,2 : 17 : 7,5 : 14 : 53,6.058631921824105,6.066865996194617,5.732344718609456,4.9923251998094536
1 : 04 : 55,1 : 37 : 04,3 : 22 : 28,6 : 35 : 3,2.8652118100128368,3.8324175824175826,3.882120513664801,3.979243133780534
0 : 30 : 27,1 : 03 : 26,2 : 22 : 48,4 : 56 : 5,6.108374384236454,5.864424592748294,5.504201680672268,5.309316070925979
0 : 31 : 07,1 : 03 : 52,2 : 30 : 31,5 : 16 : 24,5.977504017139796,5.824634655532359,5.222013066105636,4.9683944374209865
0 : 20 : 44,0 : 51 : 06,1 : 42 : 23,4 : 7 : 18,8.971061093247588,7.279843444227006,7.677030766726355,6.356651839870602
0 : 59 : 20,1 : 46 : 20,3 : 6 : 17,6 : 42 : 39,3.134831460674157,3.498432601880878,4.219379082043482,3.90413510492984
0 : 29 : 04,0 : 55 : 59,1 : 57 : 10,4 : 42 : 41,6.39908256880734,6.644834772253647,6.708392603129444,5.560992865986675
0 : 59 : 17,1 : 46 : 38,3 : 33 : 4,7 : 8 : 43,3.1374754006184986,3.4885901844326352,3.6889862327909886,3.6667573766667965
0 : 59 : 13,1 : 44 : 01,3 : 43 : 21,6 : 57 : 9,3.1410075992119335,3.576349943919244,3.519140362659503,3.768428622797555
0 : 30 : 15,1 : 06 : 53,2 : 19 : 40,4 : 54 : 29,6.148760330578512,5.561923747819586,5.627684964200478,5.338162884147377
0 : 30 : 56,1 : 04 : 17,2 : 24 : 2,5 : 22 : 51,6.012931034482759,5.786880995592429,5.457070122656792,4.869134272882143
0 : 27 : 49,0 : 59 : 15,2 : 21 : 54,5 : 13 : 35,6.686638705811864,6.2784810126582276,5.539112050739957,5.013021525378687
1 : 04 : 16,1 : 43 : 34,3 : 25 : 41,6 : 23 : 47,2.8941908713692945,3.5918892822658512,3.821408313750912,4.096061145611673
0 : 44 : 43,1 : 23 : 13,3 : 5 : 44,6 : 29 : 40,4.159522922102124,4.470258361706389,4.231873653984207,4.034217279726262
0 : 29 : 35,1 : 07 : 32,2 : 28 : 1,5 : 27 : 35,6.287323943661972,5.508390918065154,5.310212813872311,4.798778936657339
0 : 35 : 11,1 : 10 : 33,2 : 52 : 41,5 : 27 : 27,5.286594031264804,5.272856130403969,4.5516842003667595,4.800732936326157
0 : 43 : 41,1 : 41 : 59,3 : 21 : 9,7 : 16 : 46,4.25791682563907,3.6476548455630007,3.9075316927665917,3.5991757612760433
0 : 36 : 28,1 : 03 : 46,2 : 17 : 27,4 : 31 : 40,5.100548446069469,5.833768949294302,5.718443070207349,5.786503067484663
0 : 50 : 49,1 : 32 : 36,3 : 21 : 35,6 : 55 : 43,3.660216464414562,4.017278617710583,3.8991318726746584,3.7814216413422606
1 : 08 : 18,1 : 36 : 33,3 : 21 : 53,7 : 22 : 0,2.723279648609078,3.8529259451061626,3.8933377363163544,3.556561085972851
0 : 42 : 51,1 : 20 : 11,2 : 28 : 30,5 : 1 : 7,4.340723453908985,4.639368114737061,5.292929292929292,5.220567886201361
0 : 39 : 47,1 : 46 : 45,3 : 5 : 34,6 : 58 : 4,4.675324675324676,3.484777517564403,4.235674510508353,3.7601658427682985
0 : 43 : 49,1 : 30 : 26,2 : 14 : 50,5 : 43 : 36,4.2449600608596425,4.113527460375968,5.829419035846724,4.575087310826541
1 : 09 : 45,1 : 54 : 35,4 : 4 : 58,7 : 34 : 53,2.6666666666666665,3.246545454545455,3.208599809497891,3.455831165500311
1 : 01 : 36,1 : 59 : 05,3 : 55 : 0,7 : 23 : 54,3.0194805194805197,3.123862841147656,3.34468085106383,3.5413381392205454
0 : 48 : 19,1 : 30 : 13,3 : 20 : 26,7 : 3 : 23,3.849603311486719,4.123406613707741,3.9215034092798935,3.712947289690194
0 : 53 : 48,1 : 35 : 32,3 : 13 : 37,6 : 41 : 23,3.4572490706319705,3.8939288206559666,4.059567874666437,3.9164555910808456
0 : 42 : 55,1 : 17 : 33,2 : 46 : 40,6 : 13 : 38,4.333980582524272,4.796905222437138,4.716,4.20733339280935
0 : 50 : 22,2 : 15 : 55,3 : 37 : 30,6 : 59 : 33,3.692918596955659,2.736971183323115,3.613793103448276,3.7468716481944937
0 : 46 : 18,1 : 04 : 33,3 : 17 : 45,6 : 56 : 6,4.017278617710583,5.762974438419831,3.9747155499367888,3.7779379956741166
0 : 51 : 37,1 : 34 : 06,3 : 3 : 0,6 : 53 : 8,3.603487245721666,3.9532412327311377,4.295081967213115,3.8050669678876874
0 : 43 : 31,1 : 24 : 29,3 : 9 : 12,6 : 54 : 45,4.274224435082344,4.403235352140461,4.1543340380549685,3.790235081374322
0 : 39 : 10,1 : 09 : 59,2 : 33 : 32,6 : 28 : 1,4.748936170212766,5.315551321743272,5.119409465914026,4.0513723637300805
0 : 36 : 04,1 : 19 : 28,2 : 46 : 27,6 : 40 : 38,5.157116451016636,4.681208053691275,4.722138780414539,3.923787336716865
0 : 57 : 34,1 : 48 : 26,3 : 38 : 36,6 : 52 : 32,3.2310364794441226,3.430679372886566,3.595608417200366,3.81060116354234
1 : 11 : 35,1 : 49 : 43,3 : 42 : 32,6 : 55 : 44,2.5983701979045404,3.3905514203250795,3.532055122828041,3.781270044900577
0 : 54 : 14,1 : 45 : 27,3 : 32 : 56,6 : 59 : 46,3.429625076828519,3.52773826458037,3.6912961803381337,3.744937663781466
0 : 48 : 18,1 : 30 : 13,3 : 20 : 26,7 : 3 : 26,3.850931677018634,4.123406613707741,3.9215034092798935,3.7125088561757065
0 : 20 : 39,0 : 41 : 47,1 : 31 : 2,3 : 15 : 30,9.007263922518161,8.903071400079778,8.634199926766751,8.040920716112533
0 : 37 : 54,1 : 20 : 30,3 : 4 : 26,6 : 49 : 25,4.907651715039578,4.621118012422361,4.26170251219953,3.8396092000814166
0 : 28 : 12,0 : 58 : 52,2 : 6 : 25,4 : 31 : 4,6.595744680851064,6.319365798414496,6.217534607778509,5.799311362518445
0 : 43 : 46,1 : 24 : 34,3 : 13 : 6,7 : 0 : 33,4.2498095963442495,4.398896334253055,4.070429829104091,3.737962192367138
0 : 43 : 47,1 : 24 : 34,3 : 13 : 11,7 : 0 : 34,4.248191853825658,4.398896334253055,4.068673971184539,3.7378140603947054
0 : 30 : 00,0 : 57 : 37,2 : 0 : 34,4 : 20 : 55,6.2,6.456465143187735,6.519214818910699,6.0249121686362175
0 : 30 : 00,0 : 57 : 36,2 : 0 : 34,4 : 20 : 55,6.2,6.458333333333333,6.519214818910699,6.0249121686362175
0 : 37 : 43,1 : 08 : 22,2 : 40 : 37,5 : 53 : 58,4.931506849315069,5.4412481716236,4.893639099304763,4.441096148413222
0 : 24 : 58,0 : 50 : 16,1 : 51 : 55,3 : 51 : 2,7.449933244325768,7.40053050397878,7.023082650781832,6.804212956283364
0 : 46 : 52,1 : 32 : 54,3 : 21 : 10,6 : 42 : 5,3.9687055476529163,4.0043057050592035,3.907207953603977,3.909637305699482
0 : 24 : 59,0 : 50 : 15,1 : 51 : 55,3 : 51 : 2,7.444963308872581,7.402985074626866,7.023082650781832,6.804212956283364
0 : 45 : 19,1 : 31 : 40,3 : 17 : 43,7 : 0 : 15,4.104450165502023,4.058181818181818,3.9753856528702687,3.7406305770374777
0 : 56 : 40,1 : 29 : 11,3 : 29 : 49,6 : 35 : 34,3.282352941176471,4.171182956456737,3.7461275716895703,3.9740456728743574
0 : 56 : 38,1 : 29 : 10,3 : 29 : 49,6 : 35 : 34,3.2842848734549737,4.17196261682243,3.7461275716895703,3.9740456728743574
0 : 50 : 40,1 : 46 : 22,3 : 41 : 40,6 : 31 : 12,3.6710526315789473,3.497336258226262,3.5458646616541354,4.0184049079754605
0 : 31 : 01,1 : 03 : 17,3 : 24 : 37,4 : 54 : 47,5.996775926921011,5.8783249934158555,3.8413293149792294,5.332730253858766
0 : 32 : 39,1 : 03 : 19,2 : 18 : 34,4 : 36 : 51,5.696784073506891,5.875230323769413,5.672359874909791,5.678165071338269
1 : 11 : 07,1 : 23 : 01,3 : 14 : 31,6 : 40 : 28,2.615420670260136,4.481027906042963,4.040784851340931,3.9254203429332444
0 : 43 : 50,1 : 33 : 38,3 : 9 : 5,6 : 56 : 24,4.243346007604562,3.972944108223567,4.156897311591009,3.7752161383285303
0 : 39 : 27,1 : 07 : 07,2 : 18 : 4,5 : 20 : 45,4.7148288973384025,5.542587534144525,5.692901979719942,4.901013250194856
0 : 33 : 33,1 : 17 : 05,2 : 40 : 4,5 : 48 : 3,5.543964232488824,4.825945945945946,4.910453977509371,4.516592443614423
0 : 42 : 27,1 : 24 : 40,2 : 45 : 5,5 : 32 : 3,4.381625441696113,4.393700787401575,4.761231701161029,4.734226773076344
0 : 42 : 28,1 : 24 : 41,2 : 45 : 6,5 : 32 : 4,4.379905808477237,4.3928360558945085,4.760751059963659,4.733989158803453
0 : 23 : 24,0 : 50 : 26,1 : 49 : 41,3 : 53 : 46,7.94871794871795,7.376074025115665,7.1660841817352985,6.724654213603308
0 : 23 : 37,1 : 12 : 09,2 : 5 : 55,4 : 50 : 13,7.875793930839802,5.155925155925155,6.242223692918597,5.416642738184116
1 : 27 : 56,1 : 36 : 03,3 : 41 : 29,7 : 15 : 7,2.1152388172858223,3.872982821447163,3.548799759199338,3.612824146780557
0 : 38 : 06,1 : 20 : 23,3 : 1 : 43,6 : 4 : 33,4.881889763779528,4.627825005183496,4.325415023388058,4.3121656837196545
0 : 34 : 19,1 : 22 : 25,2 : 47 : 47,6 : 26 : 37,5.420106847984458,4.513650151668352,4.684613092281712,4.0660430228046724
0 : 44 : 27,1 : 29 : 42,3 : 2 : 51,6 : 23 : 27,4.184476940382452,4.147157190635451,4.298605414273995,4.099621854218282
1 : 02 : 30,1 : 58 : 21,3 : 5 : 21,6 : 38 : 3,2.976,3.1432192648922688,4.24062584299973,3.949252606456475
0 : 39 : 28,1 : 08 : 05,2 : 26 : 23,5 : 3 : 55,4.712837837837838,5.46389228886169,5.369463736764204,5.172470523718124
1 : 06 : 06,1 : 30 : 45,3 : 1 : 11,6 : 12 : 45,2.81391830559758,4.099173553719009,4.338147364547879,4.217303822937625
0 : 36 : 08,1 : 03 : 06,2 : 12 : 1,5 : 17 : 19,5.14760147601476,5.8954041204437395,5.953793712915036,4.954041703871002
0 : 42 : 08,1 : 23 : 52,3 : 19 : 38,6 : 40 : 40,4.4145569620253164,4.435612082670907,3.937218233427951,3.9234608985024955
0 : 33 : 52,1 : 10 : 24,2 : 45 : 21,5 : 20 : 27,5.4921259842519685,5.284090909090909,4.753553069247052,4.905601497893587
