hours
6
4.5
6.5
5.5
6.5
7
6
6.5
4.5
5
4.5
6
3
5.5
6.5
4.5
7
9
6
7
6.5
5.5
6.5
7
4.5
6
4.5
7
6.5
6
6.5
5
4.5
5.5
4.5
5.5
6
8
7
5.5
7.5
6.5
6.5
6
5
6
6.5
6
4.5
5.5
6.5
