LOCATION,River MILE,SPP,Species Name,SDATE,Year,Season,SEX,Length(mm),Weight(g),Moisture(%),Lipid(%),Total PCB(ppm),Lipid PCB(ppm)= Total PCB/Lipid (%),OverLimit
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080408,2008,Spring,M,558,2020,74.3,6.98,0.44,6.304,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080408,2008,Spring,F,583,2060,77.3,2.57,0.5,19.455,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080408,2008,Spring,M,575,2120,77.3,4.22,0.72,17.062,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080408,2008,Spring,M,676,2260,76.9,3.01,0.72,23.92,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080408,2008,Spring,M,596,2300,76.4,3.74,0.65,17.38,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080408,2008,Spring,F,608,2380,77.6,2.14,0.974,45.514,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080408,2008,Spring,M,617,2460,78.9,2.56,0.92,35.938,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080408,2008,Spring,M,608,2520,66.2,6.88,0.58,8.43,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080408,2008,Spring,M,638,3020,74.1,5.46,0.66,12.088,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080408,2008,Spring,M,682,3260,75.6,4.64,1.326,28.578,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080408,2008,Spring,F,707,3600,77.3,2.07,0.64,30.918,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080408,2008,Spring,M,681,3920,75.2,4.82,1.03,21.369,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080408,2008,Spring,M,736,5280,73.6,8.1,0.941,11.617,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,F,542,1700,79.4,2.77,0.757,27.329,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,M,546,1780,75.1,5.32,0.567,10.658,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,F,547,1800,73.6,5.78,0.335,5.796,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,M,545,1850,76,5.7,0.539,9.456,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,M,565,1960,73.4,5.2,0.443,8.519,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,F,564,2000,75.4,3.71,0.507,13.666,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,F,570,2010,72.1,5.18,0.563,10.869,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,M,566,2060,76.6,7.05,0.287,4.071,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,F,585,2080,77.1,3.64,1.095,30.082,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,F,587,2220,75.6,3.46,0.367,10.607,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,F,595,2270,77.5,2.91,0.347,11.924,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,F,604,2290,76.3,4.52,0.445,9.845,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,F,601,2320,76.6,3.86,0.267,6.917,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,F,626,2600,75,6.6,0.335,5.076,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,M,626,2720,69.9,7.73,0.273,3.532,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,F,658,3220,75.7,4.28,0.285,6.659,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,F,675,3320,74.5,5.92,0.593,10.017,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,M,725,4680,76.7,3.25,0.378,11.631,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,F,732,4920,72.5,6.18,0.577,9.337,No
