date,R_fighter,B_fighter,Winner,title_bout,weight_class,R_Reach_cms,B_Reach_cms,R_current_win_streak,B_current_win_streak,ReachWin,StreakWin
2020-09-26,Israel Adesanya,Paulo Costa,Red,TRUE,Middleweight,203.2,182.88,8,5,Yes,Yes
2019-10-05,Robert Whittaker,Israel Adesanya,Blue,TRUE,Middleweight,185.42,203.2,2,6,Yes,Yes
2021-03-06,Amanda Nunes,Megan Anderson,Red,TRUE,WomenFeatherweight,175.26,182.88,2,0,No,Yes
2006-10-14,Sean Sherk,Kenny Florian,Red,TRUE,Lightweight,170.18,187.96,3,0,No,Yes
2009-08-08,BJ Penn,Kenny Florian,Red,TRUE,Lightweight,177.8,187.96,3,0,No,Yes
2002-03-22,Josh Barnett,Randy Couture,Red,TRUE,Heavyweight,198.12,190.5,1,7,Yes,No
2007-07-07,Sean Sherk,Hermes Franca,Red,TRUE,Lightweight,170.18,180.34,3,2,No,Yes
2014-12-06,Johny Hendricks,Robbie Lawler,Blue,TRUE,Welterweight,175.26,187.96,4,3,Yes,No
2006-07-08,Tim Sylvia,Andrei Arlovski,Red,TRUE,Heavyweight,203.2,195.58,3,1,Yes,Yes
2007-10-20,Anderson Silva,Rich Franklin,Red,TRUE,Middleweight,195.58,193.04,4,7,Yes,No
2013-08-31,Benson Henderson,Anthony Pettis,Blue,TRUE,Lightweight,177.8,182.88,7,0,Yes,No
2017-05-13,Stipe Miocic,Junior Dos Santos,Red,TRUE,Heavyweight,203.2,195.58,3,9,Yes,No
2017-05-13,Joanna Jedrzejczyk,Jessica Andrade,Red,TRUE,WomenStrawweight,165.1,157.48,7,0,Yes,Yes
2013-11-16,Georges St-Pierre,Johny Hendricks,Red,TRUE,Welterweight,193.04,175.26,2,4,Yes,No
2014-04-26,Jon Jones,Glover Teixeira,Red,TRUE,LightHeavyweight,213.36,193.04,3,5,Yes,No
2010-04-10,Anderson Silva,Demian Maia,Red,TRUE,Middleweight,195.58,182.88,10,5,Yes,Yes
2016-11-12,Eddie Alvarez,Conor McGregor,Blue,TRUE,Lightweight,175.26,187.96,0,7,Yes,Yes
2017-06-03,Jose Aldo,Max Holloway,Blue,TRUE,Featherweight,177.8,175.26,7,0,No,No
2018-05-12,Amanda Nunes,Raquel Pennington,Red,TRUE,WomenBantamweight,175.26,170.18,2,1,Yes,Yes
2019-09-07,Khabib Nurmagomedov,Dustin Poirier,Red,TRUE,Lightweight,177.8,182.88,11,4,No,Yes
2016-07-08,Joanna Jedrzejczyk,Claudia Gadelha,Red,TRUE,WomenStrawweight,165.1,160.02,5,1,Yes,Yes
2009-05-23,Lyoto Machida,Rashad Evans,Red,TRUE,LightHeavyweight,187.96,190.5,6,5,No,Yes
2013-05-25,Cain Velasquez,Antonio Silva,Red,TRUE,Heavyweight,195.58,208.28,7,0,No,Yes
2010-10-23,Brock Lesnar,Cain Velasquez,Blue,TRUE,Heavyweight,205.74,195.58,0,6,No,Yes
2005-06-04,Rich Franklin,Evan Tanner,Red,TRUE,Middleweight,193.04,187.96,4,3,Yes,Yes
2019-04-13,Max Holloway,Dustin Poirier,Blue,TRUE,Lightweight,175.26,182.88,0,4,Yes,Yes
2012-04-21,Jon Jones,Rashad Evans,Red,TRUE,LightHeavyweight,213.36,190.5,3,5,Yes,No
2011-04-30,Georges St-Pierre,Jake Shields,Red,TRUE,Welterweight,193.04,182.88,2,1,Yes,Yes
2013-04-20,Benson Henderson,Gilbert Melendez,Red,TRUE,Lightweight,177.8,185.42,6,0,No,Yes
2004-01-31,BJ Penn,Matt Hughes,Red,TRUE,Welterweight,177.8,185.42,3,2,No,Yes
2009-01-31,Georges St-Pierre,BJ Penn,Red,TRUE,Welterweight,193.04,177.8,2,3,Yes,No
2013-07-06,Anderson Silva,Chris Weidman,Blue,TRUE,Middleweight,195.58,198.12,16,5,Yes,No
2019-06-08,Henry Cejudo,Marlon Moraes,Red,TRUE,Bantamweight,162.56,170.18,4,0,No,Yes
2017-04-08,Daniel Cormier,Anthony Johnson,Red,TRUE,LightHeavyweight,182.88,198.12,4,1,No,Yes
2015-10-03,Daniel Cormier,Alexander Gustafsson,Red,TRUE,LightHeavyweight,182.88,200.66,4,1,No,Yes
2015-05-23,Anthony Johnson,Daniel Cormier,Blue,TRUE,LightHeavyweight,198.12,182.88,1,4,No,Yes
2004-08-21,Randy Couture,Vitor Belfort,Red,TRUE,LightHeavyweight,190.5,187.96,7,3,Yes,Yes
2018-08-04,Demetrious Johnson,Henry Cejudo,Blue,TRUE,Flyweight,167.64,162.56,2,4,No,Yes
2019-07-27,Max Holloway,Frankie Edgar,Red,TRUE,Featherweight,175.26,172.72,0,3,Yes,No
2015-02-28,Ronda Rousey,Cat Zingano,Red,TRUE,WomenBantamweight,167.64,172.72,4,2,No,Yes
2016-01-17,TJ Dillashaw,Dominick Cruz,Blue,TRUE,Bantamweight,170.18,172.72,0,3,Yes,Yes
2015-06-20,Joanna Jedrzejczyk,Jessica Penne,Red,TRUE,WomenStrawweight,165.1,170.18,3,1,No,Yes
2011-08-27,Anderson Silva,Yushin Okami,Red,TRUE,Middleweight,195.58,190.5,13,4,Yes,Yes
2020-07-11,Kamaru Usman,Jorge Masvidal,Red,TRUE,Welterweight,193.04,187.96,11,2,Yes,Yes
2007-07-07,Anderson Silva,Nate Marquardt,Red,TRUE,Middleweight,195.58,187.96,3,4,Yes,No
2020-07-11,Alexander Volkanovski,Max Holloway,Red,TRUE,Featherweight,180.34,175.26,8,0,Yes,Yes
2017-10-07,Demetrious Johnson,Ray Borg,Red,TRUE,Flyweight,167.64,160.02,2,0,Yes,Yes
2015-05-23,Chris Weidman,Vitor Belfort,Red,TRUE,Middleweight,198.12,187.96,8,3,Yes,Yes
2009-07-11,Brock Lesnar,Frank Mir,Red,TRUE,Heavyweight,205.74,200.66,0,2,Yes,No
2007-08-25,Randy Couture,Gabriel Gonzaga,Red,TRUE,Heavyweight,190.5,193.04,7,4,No,Yes
2014-02-01,Jose Aldo,Ricardo Lamas,Red,TRUE,Featherweight,177.8,180.34,5,4,No,Yes
2016-07-09,Miesha Tate,Amanda Nunes,Blue,TRUE,WomenBantamweight,167.64,175.26,0,2,Yes,Yes
2019-03-02,Tyron Woodley,Kamaru Usman,Blue,TRUE,Welterweight,187.96,193.04,1,9,Yes,Yes
2012-05-26,Junior Dos Santos,Frank Mir,Red,TRUE,Heavyweight,195.58,200.66,8,2,No,Yes
2017-07-29,Tyron Woodley,Demian Maia,Red,TRUE,Welterweight,187.96,182.88,1,5,Yes,No
2006-04-15,Tim Sylvia,Andrei Arlovski,Red,TRUE,Heavyweight,203.2,195.58,3,1,Yes,Yes
2005-04-16,Matt Hughes,Frank Trigg,Red,TRUE,Welterweight,185.42,180.34,2,0,Yes,Yes
2008-12-27,Rashad Evans,Forrest Griffin,Red,TRUE,LightHeavyweight,190.5,195.58,5,3,No,Yes
2016-10-08,Michael Bisping,Dan Henderson,Red,TRUE,Middleweight,190.5,187.96,4,2,Yes,Yes
